,location,cases,date
0,Laboratory Confirmed Cases (LCC),2474.0,2020-03-30 14:30:44.492110
1,- Los Angeles County (excl. LB and Pas),2365.0,2020-03-30 14:30:44.492110
2,- Long Beach,99.0,2020-03-30 14:30:44.492110
3,- Pasadena,10.0,2020-03-30 14:30:44.492110
5,Deaths,44.0,2020-03-30 14:30:44.492110
6,- Los Angeles County (excl. LB and Pas),43.0,2020-03-30 14:30:44.492110
7,- Long Beach,1.0,2020-03-30 14:30:44.492110
8,- Pasadena,0.0,2020-03-30 14:30:44.492110
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,2020-03-30 14:30:44.492110
12,0 to 17,37.0,2020-03-30 14:30:44.492110
13,18 to 40,918.0,2020-03-30 14:30:44.492110
14,41 to 65,943.0,2020-03-30 14:30:44.492110
15,Over 65,467.0,2020-03-30 14:30:44.492110
17,Hospitalization,,2020-03-30 14:30:44.492110
18,Hospitalized (Ever),492.0,2020-03-30 14:30:44.492110
21,CITY/COMMUNITY,,2020-03-30 14:30:44.492110
22,City of Agoura Hills,9.0,2020-03-30 14:30:44.492110
23,City of Alhambra,11.0,2020-03-30 14:30:44.492110
24,City of Arcadia,9.0,2020-03-30 14:30:44.492110
25,City of Artesia,,2020-03-30 14:30:44.492110
