,location,cases,Unnamed: 2,date
0,Laboratory Confirmed Cases (LCC),3518.0,,2020-04-01 15:00:29.244953
1,- Los Angeles County (excl. LB and Pas),3352.0,,2020-04-01 15:00:29.244953
2,- Long Beach,133.0,,2020-04-01 15:00:29.244953
3,- Pasadena,33.0,,2020-04-01 15:00:29.244953
5,Deaths,65.0,,2020-04-01 15:00:29.244953
6,- Los Angeles County (excl. LB and Pas),64.0,,2020-04-01 15:00:29.244953
7,- Long Beach,1.0,,2020-04-01 15:00:29.244953
8,- Pasadena,0.0,,2020-04-01 15:00:29.244953
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-01 15:00:29.244953
12,0 to 17,32.0,,2020-04-01 15:00:29.244953
13,18 to 40,1228.0,,2020-04-01 15:00:29.244953
14,41 to 65,1399.0,,2020-04-01 15:00:29.244953
15,Over 65,669.0,,2020-04-01 15:00:29.244953
16,Unknown,24.0,,2020-04-01 15:00:29.244953
17,Hospitalization,,,2020-04-01 15:00:29.244953
18,Hospitalized (Ever),733.0,,2020-04-01 15:00:29.244953
19,CITY/COMMUNITY,,Rate***,2020-04-01 15:00:29.244953
20,City of Agoura Hills,10.0,47.24,2020-04-01 15:00:29.244953
