,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),4566.0,,2020-04-03 14:40:57.295335
1,- Los Angeles County (excl. LB and Pas),4376.0,,2020-04-03 14:40:57.295335
2,- Long Beach,153.0,,2020-04-03 14:40:57.295335
3,- Pasadena,37.0,,2020-04-03 14:40:57.295335
5,Deaths,89.0,,2020-04-03 14:40:57.295335
6,- Los Angeles County (excl. LB and Pas),88.0,,2020-04-03 14:40:57.295335
7,- Long Beach,1.0,,2020-04-03 14:40:57.295335
8,- Pasadena,0.0,,2020-04-03 14:40:57.295335
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-03 14:40:57.295335
12,0 to 17,40.0,,2020-04-03 14:40:57.295335
13,18 to 40,1538.0,,2020-04-03 14:40:57.295335
14,41 to 65,1859.0,,2020-04-03 14:40:57.295335
15,Over 65,907.0,,2020-04-03 14:40:57.295335
16,Under Investigation,32.0,,2020-04-03 14:40:57.295335
17,Gender,,,2020-04-03 14:40:57.295335
18,Male,2302.0,,2020-04-03 14:40:57.295335
19,Female,1977.0,,2020-04-03 14:40:57.295335
20,Under Investigation,97.0,,2020-04-03 14:40:57.295335
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-03 14:40:57.295335
24,Hospitalized (Ever),1018.0,,2020-04-03 14:40:57.295335
27,CITY / COMMUNITY,,,2020-04-03 14:40:57.295335
28,City of Agoura Hills,16.0,75.59,2020-04-03 14:40:57.295335
29,City of Alhambra,17.0,19.61,2020-04-03 14:40:57.295335
30,City of Arcadia,13.0,22.81,2020-04-03 14:40:57.295335
31,City of Artesia,,--,2020-04-03 14:40:57.295335
32,City of Avalon,0.0,0,2020-04-03 14:40:57.295335
