,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),5277.0,,2020-04-04 17:02:42.350030
1,- Los Angeles County (excl. LB and Pas),5069.0,,2020-04-04 17:02:42.350030
2,- Long Beach,171.0,,2020-04-04 17:02:42.350030
3,- Pasadena,37.0,,2020-04-04 17:02:42.350030
5,Deaths,117.0,,2020-04-04 17:02:42.350030
6,- Los Angeles County (excl. LB and Pas),114.0,,2020-04-04 17:02:42.350030
7,- Long Beach,3.0,,2020-04-04 17:02:42.350030
8,- Pasadena,0.0,,2020-04-04 17:02:42.350030
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-04 17:02:42.350030
12,0 to 17,48.0,,2020-04-04 17:02:42.350030
13,18 to 40,1785.0,,2020-04-04 17:02:42.350030
14,41 to 65,2160.0,,2020-04-04 17:02:42.350030
15,Over 65,1050.0,,2020-04-04 17:02:42.350030
16,Under Investigation,26.0,,2020-04-04 17:02:42.350030
17,Gender,,,2020-04-04 17:02:42.350030
18,Male,2641.0,,2020-04-04 17:02:42.350030
19,Female,2277.0,,2020-04-04 17:02:42.350030
20,Under Investigation,151.0,,2020-04-04 17:02:42.350030
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-04 17:02:42.350030
24,Hospitalized (Ever),1168.0,,2020-04-04 17:02:42.350030
27,CITY/COMMUNITY,,,2020-04-04 17:02:42.350030
28,City of Agoura Hills,17.0,80.31,2020-04-04 17:02:42.350030
29,City of Alhambra,19.0,21.91,2020-04-04 17:02:42.350030
30,City of Arcadia,13.0,22.81,2020-04-04 17:02:42.350030
31,City of Artesia,,--,2020-04-04 17:02:42.350030
32,City of Avalon,0.0,0,2020-04-04 17:02:42.350030
