,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),13816.0,,2020-04-20 16:54:37.370910
1,- Los Angeles County (excl. LB and Pas),13144.0,,2020-04-20 16:54:37.370910
2,- Long Beach,457.0,,2020-04-20 16:54:37.370910
3,- Pasadena,215.0,,2020-04-20 16:54:37.370910
5,Deaths,617.0,,2020-04-20 16:54:37.370910
6,- Los Angeles County (excl. LB and Pas),575.0,,2020-04-20 16:54:37.370910
7,- Long Beach,22.0,,2020-04-20 16:54:37.370910
8,- Pasadena,20.0,,2020-04-20 16:54:37.370910
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-20 16:54:37.370910
12,0 to 17,194.0,,2020-04-20 16:54:37.370910
13,18 to 40,4113.0,,2020-04-20 16:54:37.370910
14,41 to 65,5761.0,,2020-04-20 16:54:37.370910
15,Over 65,3045.0,,2020-04-20 16:54:37.370910
16,Under Investigation,31.0,,2020-04-20 16:54:37.370910
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-20 16:54:37.370910
18,Female,6431.0,,2020-04-20 16:54:37.370910
19,Male,6561.0,,2020-04-20 16:54:37.370910
20,Other,3.0,,2020-04-20 16:54:37.370910
21,Under Investigation,149.0,,2020-04-20 16:54:37.370910
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-20 16:54:37.370910
24,Hospitalized (Ever),3465.0,,2020-04-20 16:54:37.370910
27,CITY/COMMUNITY,,,2020-04-20 16:54:37.370910
28,City of Agoura Hills,26.0,124.5,2020-04-20 16:54:37.370910
29,City of Alhambra,47.0,54.19,2020-04-20 16:54:37.370910
30,City of Arcadia,30.0,51.94,2020-04-20 16:54:37.370910
31,City of Artesia,10.0,59.54,2020-04-20 16:54:37.370910
