,location,cases,Unnamed: 2,date
0,Laboratory Confirmed Cases (LCC),3011.0,,2020-03-31 15:02:43.233651
1,- Los Angeles County (excl. LB and Pas),2871.0,,2020-03-31 15:02:43.233651
2,- Long Beach,115.0,,2020-03-31 15:02:43.233651
3,- Pasadena,25.0,,2020-03-31 15:02:43.233651
5,Deaths,54.0,,2020-03-31 15:02:43.233651
6,- Los Angeles County (excl. LB and Pas),53.0,,2020-03-31 15:02:43.233651
7,- Long Beach,1.0,,2020-03-31 15:02:43.233651
8,- Pasadena,0.0,,2020-03-31 15:02:43.233651
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-03-31 15:02:43.233651
12,0 to 17,27.0,,2020-03-31 15:02:43.233651
13,18 to 40,1101.0,,2020-03-31 15:02:43.233651
14,41 to 65,1172.0,,2020-03-31 15:02:43.233651
15,Over 65,553.0,,2020-03-31 15:02:43.233651
16,Unknown,18.0,,2020-03-31 15:02:43.233651
17,Hospitalization,,,2020-03-31 15:02:43.233651
18,Hospitalized (Ever),594.0,,2020-03-31 15:02:43.233651
19,CITY/COMMUNITY,,Rate***,2020-03-31 15:02:43.233651
20,City of Agoura Hills,11.0,51.97,2020-03-31 15:02:43.233651
