,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),5940.0,,2020-04-05 16:15:35.299912
1,- Los Angeles County (excl. LB and Pas),5684.0,,2020-04-05 16:15:35.299912
2,- Long Beach,198.0,,2020-04-05 16:15:35.299912
3,- Pasadena,58.0,,2020-04-05 16:15:35.299912
5,Deaths,127.0,,2020-04-05 16:15:35.299912
6,- Los Angeles County (excl. LB and Pas),3.0,,2020-04-05 16:15:35.299912
7,- Long Beach,2.0,,2020-04-05 16:15:35.299912
8,- Pasadena,,,2020-04-05 16:15:35.299912
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-05 16:15:35.299912
12,0 to 17,57.0,,2020-04-05 16:15:35.299912
13,18 to 40,1989.0,,2020-04-05 16:15:35.299912
14,41 to 65,2451.0,,2020-04-05 16:15:35.299912
15,Over 65,1156.0,,2020-04-05 16:15:35.299912
16,Under Investigation,31.0,,2020-04-05 16:15:35.299912
17,Gender,,,2020-04-05 16:15:35.299912
18,Male,2899.0,,2020-04-05 16:15:35.299912
19,Female,2547.0,,2020-04-05 16:15:35.299912
20,Under Investigation,238.0,,2020-04-05 16:15:35.299912
23,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-04-05 16:15:35.299912
24,Hospitalized (Ever),1257.0,,2020-04-05 16:15:35.299912
27,CITY/COMMUNITY,,,2020-04-05 16:15:35.299912
28,City of Agoura Hills,18.0,85.03,2020-04-05 16:15:35.299912
29,City of Alhambra,21.0,24.22,2020-04-05 16:15:35.299912
30,City of Arcadia,14.0,24.56,2020-04-05 16:15:35.299912
31,City of Artesia,,--,2020-04-05 16:15:35.299912
32,City of Avalon,0.0,0,2020-04-05 16:15:35.299912
