,location,cases,date
0,Laboratory Confirmed Cases (LCC),1465.0,2020-03-27 15:54:01.964592
1,- Los Angeles County (excl. LB and Pas),1402.0,2020-03-27 15:54:01.964592
2,- Long Beach,54.0,2020-03-27 15:54:01.964592
3,- Pasadena,9.0,2020-03-27 15:54:01.964592
5,Deaths,26.0,2020-03-27 15:54:01.964592
6,- Los Angeles County (excl. LB and Pas),25.0,2020-03-27 15:54:01.964592
7,- Long Beach,1.0,2020-03-27 15:54:01.964592
8,- Pasadena,0.0,2020-03-27 15:54:01.964592
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,2020-03-27 15:54:01.964592
12,0 to 17,22.0,2020-03-27 15:54:01.964592
13,18 to 40,547.0,2020-03-27 15:54:01.964592
14,41 to 65,565.0,2020-03-27 15:54:01.964592
15,Over 65,268.0,2020-03-27 15:54:01.964592
17,Hospitalization,,2020-03-27 15:54:01.964592
18,Hospitalized (Ever),317.0,2020-03-27 15:54:01.964592
21,CITY/COMMUNITY,,2020-03-27 15:54:01.964592
22,City of Agoura Hills,6.0,2020-03-27 15:54:01.964592
23,City of Alhambra,8.0,2020-03-27 15:54:01.964592
24,City of Arcadia,6.0,2020-03-27 15:54:01.964592
25,City of Artesia,,2020-03-27 15:54:01.964592
